domain_pattern	org	role	rtb_exchange	external_seat	confidence	source
googleads.g.doubleclick.net	Google	exchange	yes	no	high	Primary ad-request host of the Google Mobile Ads SDK (Android). Google official: https://support.google.com/admanager/answer/6206401 names it as the Host to SSL-proxy when capturing mobile ad sessions; https://developers.google.com/admob/android/network-tracing shows the onNetworkRequest sample hitting it. external_seat=no: Authorized Buyers is limited to companies that "buy on behalf of multiple advertisers" - https://support.google.com/authorizedbuyers/answer/6138000 - which disqualifies a single-advertiser buyer by its own terms.
doubleclick.net	Google	exchange	yes	no	high	own-extract com.google.android.gms:play-services-ads:24.5.0 (2026-08-15): the suffix constants "doubleclick.net","googleadservices.com","googlesyndication.com" and the host "ad.doubleclick.net" plus paths /pagead/adview,/pcs/view,/pagead/conversion,/dbm/ad are compiled into the SDK. Seat: see googleads.g.doubleclick.net.
securepubads.g.doubleclick.net	Google	exchange	yes	no	medium	Named alongside googleads.g.doubleclick.net in Google's mobile-session capture doc https://support.google.com/admanager/answer/6206401; own-dns 2026-08-15 resolves 142.250.69.98. Predominantly the web/GPT path, reached from ad WebViews rather than the native Android ad request - no mobile-native capture found.
googlesyndication.com	Google	cdn	unknown	no	high	Creative and measurement-JS delivery, not the auction. pagead2.googlesyndication.com serves the IAB Open Measurement JS to in-app ad WebViews (/omsdk/releases/live/omsdk-v1.js) - https://developers.google.com/admob/android/open-measurement plus real GMA SDK logs at https://groups.google.com/g/google-admob-ads-sdk/c/xbytIlO4JTM. Also a compiled suffix constant (own-extract play-services-ads:24.5.0).
googleadservices.com	Google	attribution	no	no	high	Google app conversion tracking / remarketing. Official: "All API calls are made to the www.googleadservices.com domain", path /pagead/conversion/app/1.1 - https://developers.google.com/app-conversion-tracking/api/request-response-specs. own-extract play-services-ads:24.5.0 confirms the suffix constant; own-dns 2026-08-15 resolves. Not an auction host.
app-measurement.com	Google	analytics	no	no	high	Google Analytics for Firebase event upload (POST /a) and config (/s). https://trackers.tweasel.org/t/google/app-measurement/; own-dns 2026-08-15 resolves to Google. CLASSIFY OUT.
app-analytics-services.com	Google	analytics	no	no	medium	Newer Firebase/GA4 app event ingest host. https://github.com/firebase/firebase-ios-sdk/issues/12735; own-dns 2026-08-15 resolves to Google 74.125.197.x. No official Google allowlist page exists. CLASSIFY OUT.
google-analytics.com	Google	analytics	no	no	high	GA4 Measurement Protocol (/mp/collect) - https://developers.google.com/analytics/devguides/collection/protocol/ga4/sending-events. This is the server-to-server lane; the Android Firebase SDK uses app-measurement.com instead. CLASSIFY OUT.
firebaselogging-pa.googleapis.com	Google	analytics	no	no	high	GoogleDataTransport "FireLog" batched telemetry (/v1/firelog/legacy/batchlog), shared by Crashlytics, Performance, ML Kit and Firebase Core regardless of which SDK the developer integrated. https://trackers.tweasel.org/t/google/googledatatransport-firelog-batchlog-protobuf/. CLASSIFY OUT.
crashlyticsreports-pa.googleapis.com	Google	analytics	no	no	high	Firebase Crashlytics crash upload via the same FireLog transport. https://trackers.tweasel.org/t/google/googledatatransport-firelog-batchlog-protobuf/. CLASSIFY OUT.
